Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	3	2	3	2	2	2	3	3	3	2	32	1	HR
3	3	1	2	1	3	3	1	2	1	2	22	3	US
4	4	1	4	1	3	3	1	2	1	1	36	3	KY
4	4	1	4	1	4	4	1	1	1	2	33	3	MY
4	3	1	3	1	4	3	1	2	1	1	47	1	CA
3	3	2	3	3	3	2	3	3	3	2	15	3	MY
4	4	1	3	1	4	4	1	1	1	2	21	1	US
3	3	2	3	3	2	2	2	4	4	1	28	2	US
4	4	1	4	1	4	3	1	1	1	2	1	1	US
4	4	1	4	1	4	4	1	1	1	2	50	1	US
3	3	4	2	4	2	1	4	4	4	2	28	3	US
4	4	3	3	1	3	3	3	3	1	2	33	3	JP
3	3	2	4	2	3	2	3	3	3	2	23	3	DE
2	3	4	2	4	1	1	4	4	4	2	22	1	SG
3	3	2	3	2	1	2	3	3	3	1	0	1	AU
4	4	1	4	1	4	4	1	1	1	1	51	3	DE
3	3	1	3	2	3	4	1	2	1	1	49	3	BA
3	3	3	3	3	2	2	3	3	3	1	52	3	US
3	3	1	3	1	2	2	3	3	2	2	42	3	NZ
3	3	2	3	2	2	3	4	3	2	2	28	3	US
3	3	2	4	3	2	1	4	3	3	2	30	3	GB
2	3	3	3	3	0	2	4	4	3	2	20	3	IE
3	3	2	4	2	4	3	4	2	2	2	22	3	US
4	4	2	4	2	2	2	4	3	3	1	25	1	US
3	4	2	3	2	3	3	3	2	2	1	35	3	CH
3	3	3	3	3	1	2	4	4	4	1	47	1	FR
3	4	2	3	2	3	3	2	3	1	2	37	3	TR
4	3	1	4	1	4	3	4	1	4	1	17	3	IN
3	3	2	4	3	3	3	1	2	2	2	22	1	CA
2	2	3	2	3	1	1	3	4	4	2	32	1	GB
2	2	4	2	4	2	1	3	4	3	2	29	3	US
3	2	3	3	3	2	2	3	3	3	2	18	1	US
4	4	1	4	1	4	4	1	1	1	1	47	1	AZ
3	3	1	3	1	2	2	2	3	2	1	45	1	US
4	3	3	3	2	3	3	3	2	2	1	25	3	IN
3	3	2	3	4	2	3	3	2	2	1	19	1	CA
4	4	1	4	1	4	3	2	3	3	1	22	3	US
3	3	3	2	3	2	1	4	4	3	1	26	1	NO
3	3	3	3	3	2	3	3	3	3	2	44	1	US
3	4	2	2	3	2	2	3	3	3	2	23	3	RO
3	4	2	3	1	3	2	3	2	2	2	56	3	US
3	3	2	4	3	2	3	2	3	3	1	17	3	US
3	3	2	3	2	2	2	2	3	2	2	21	3	TT
3	3	2	2	3	2	2	3	3	3	2	17	3	HK
3	3	1	3	2	4	3	2	1	2	2	42	1	US
2	3	3	2	3	2	2	3	3	3	2	18	3	US
4	3	1	3	1	4	4	2	3	3	1	17	3	IN
3	3	2	3	2	3	3	2	2	2	2	36	3	GB
